Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Kali Uchis,Solista,F,Estados Unidos,Pop,2012
Kamasi Washington,Solista,M,Estados Unidos,Jazz,2004
Kames Hype,Solista,M,Reino Unido,House,2017
Kanto,Solista,M,Corea del Sur,Hip-hop/rap,2013
Kanye West,Solista,M,Estados Unidos,Hip-hop/rap,1996
Kapitol,Banda,M,Chile,Pop,2011
Karla Grunewaldt,Solista,F,Chile,Pop,2018
Kasabian,Banda,M,Reino Unido,Rock,1997
Kasablanca,Banda,M,Estados Unidos,Electrónica,2020
Kaskade,Solista,M,Estados Unidos,Electrónica,2001
Kaytranada,Solista,M,Canadá,Electrónica,2010
Keane,Banda,M,Reino Unido,Rock,1995
Kehlani,Solista,F,Estados Unidos,R&B,2014
Keko yoma,Banda,M,Chile,Rock,2004
Kendrick Lamar,Solista,M,Estados Unidos,Hip-hop/rap,2010
Kenia Os,Solista,F,México,Pop,2018
Khalid,Solista,M,Estados Unidos,R&B,2016
Khea,Solista,M,Argentina,Trap,2017
Kid Cudi,Solista,M,Estados Unidos,Electrónica,2007
Kidd Keo,Solista,M,España,Trap,2015
Kidd Voodoo,Solista,M,Chile,Reggaeton,2019
Kiddtetoon,Solista,M,Chile,Trap,2019
Kill the Noise,Solista,M,Estados Unidos,Electrónica,2015
Killua97,Solista,M,Chile,R&B,2022
King Gizzard & Yhe Lizard Wizard,Banda,M,Australia,Rock,2010
Kings Of Leon,Banda,M,Estados Unidos,Rock,1999
Kinmakirú,Banda,Mixto,Chile,Rock,2017
Kramer,Solista,M,Chile,Humorista,2002
Krewella,Banda,F,Estados Unidos,Electrónica,2012
KSHMR,Solista,M,Estados Unidos,Electrónica,2014
Kuervos del sur,Banda,M,Chile,Rock,2003
Kuina,Solista,F,Chile,Trap,2021
Kungs,Solista,M,Francia,Electrónica,2016
Kya,Solista,F,Chile,Pop,2019
Kygo,Solista,M,Noruega,Electrónica,2014
L-Gante,Solista,M,Argentina,Trap,2021
La Ciscu Margaret,Banda,M,Chile,Orquesta Clown,2012
La floripondio,Banda,M,Chile,Punk,1990
La Guacha,Banda,Mixto,Chile,Pop,2010
La Mala Senda,Banda,M,Chile,Rock,2008
La pozze Latina,Banda,M,Chile,Hip-hop/rap,1991
La vela puerca,Banda,M,Uruguay,Rock,1995
Laguna y el R'io,Banda,M,Chile,Folk,2018
Laia,Banda,F,Chile,Folk,2018
Lana del Rey,Solista,F,Estados Unidos,Pop,2010
Lance Herbstrong,Solista,M,Estados Unidos,Electrónica,2012
Lany,Banda,M,Estados Unidos,Pop,2014
Lara Project,Banda,M,Venezuela,Pop,2017
Las Pelotas,Banda,M,Argentina,Rock,1988
Lasso,Solista,M,Venezuela,Pop,2011
Latin Bitman,Solista,M,Chile,Electrónica,2007
LCD Soundsystem,Banda,M,Estados Unidos,Electrónica,2002
Lenny Kravitz,Solista,M,Estados Unidos,Rock,1989
León Larregui,Solista,M,México,Rock,2012
Liam Gallaguer,Solista,M,Reino Unido,Rock,2017
Lil Nas X,Solista,M,Estados Unidos,Hip-hop/rap,2018
Lilits,Banda,F,Chile,Rock,2004
Limp Bizkit,Banda,Mixto,Estados Unidos,Metal,1997
Liricistas,Banda,M,Chile,Hip-hop/rap,2002
Lit Killah,Solista,M,Argentina,Trap,2021
Liz Santibáñez,Solista,F,Chile,Pop,2020
López,Banda,M,Chile,Rock,2014
Lorde,Solista,F,Nueva Zelanda,Pop,2008
Los Bunkers,Banda,M,Chile,Rock,1999
Los Fi,Banda,M,Chile,Rock ,2001
Los frutantes,Banda,M,Chile,Funk,2017
Los Jaivas,Banda,M,Chile,Rock,1963
Los Mesoneros,Banda,Mixto,Venezuela,Rock,2006
Los Miserables,Banda,Mixto,Chile,Punk,1983
Los Mocosos,Banda,M,Argentina,Infantil,2012
Los Pericos,Banda,Mixto,Argentina,Reggae,1986
Los Plumabits,Banda,M,Chile,Infantil,2007
Los Pulentos,Banda,Mixto,Chile,Hip-hop/rap,2005
Los Rockers,Banda,M,Chile,Rock and Roll,1961
Los tres,Banda,M,Chile,Rock,1987
LosPetitFellas,Banda,M,Colombia,Hip-hop/rap,2013
Loud Luxury,Banda,M,Canadá,Electrónica,2012
